time,hourOfDay,count
00,00,422
01,01,237
02,02,139
03,03,97
04,04,180
05,05,682
06,06,1794
07,07,4272
08,08,7302
09,09,3710
10,10,2248
11,11,2241
12,12,2569
13,13,2490
14,14,2356
15,15,2635
16,16,2991
17,17,5278
18,18,5959
19,19,3909
20,20,2563
21,21,1826
22,22,1223
23,23,669
